# Wavel Pixel Sigma
6506.5 1852.2154334027423 1
6402.2 1748.070121357671 1
6382.9 1731.84 1
6334.4 1684.53 1
6266.5 1618.81 1
6143.1 1499.32 1
6096.2 1454.1201072299166 1
6030.0 1388.6100935765273 1
5975.5 1338.610513553394 1
5944.8 1309.4005204708552 1
5881.9 1249.610032976856 1
5852.5 1221.760086003975 1
5371.4 0781.33 1
5167.6 0618.92 1
4879.9 0425.99 1
